DemGroup,Dem,Var,OR,95% CI
Race/ethnicity,Hispanic,Downloaded health information to mobile device,1.47,"0.57, 3.82"
Race/ethnicity,Non-Hispanic black,Downloaded health information to mobile device,1.73,"0.88, 3.42"
Race/ethnicity,Other race,Downloaded health information to mobile device,2.78,"1.33, 5.86"
Race/ethnicity,Non-Hispanic white (ref),Downloaded health information to mobile device,1,"1.00, 1.00"
Home ownership,Rent or occupy without rent,Downloaded health information to mobile device,1.18,"0.62, 2.24"
Home ownership,Own (ref),Downloaded health information to mobile device,1,"1.00, 1.00"
Annual household income,"<$20,000",Downloaded health information to mobile device,1.28,"0.59, 2.80"
Annual household income,"$20,000 to <$35,000",Downloaded health information to mobile device,0.88,"0.37, 2.13"
Annual household income,"$35,000 to <$50,000",Downloaded health information to mobile device,0.81,"0.38, 1.75"
Annual household income,"$50,000 to <$75,000",Downloaded health information to mobile device,1.09,"0.61, 1.96"
Annual household income,">$75,000 (ref)",Downloaded health information to mobile device,1,"1.00, 1.00"
Age,18-34,Downloaded health information to mobile device,1.78,"0.77, 4.09"
Age,35-49,Downloaded health information to mobile device,0.89,"0.43, 1.84"
Age,50-64,Downloaded health information to mobile device,1.32,"0.66, 2.62"
Age,>65 (ref),Downloaded health information to mobile device,1,"1.00, 1.00"
Gender,Female,Downloaded health information to mobile device,1.21,"0.75, 1.93"
Gender,Male (ref),Downloaded health information to mobile device,1,"1.00, 1.00"
