DemGroup,Dem,Var,OR,95% CI
Home ownership,Rent or occupy without rent,Participated in an online support group for people with a similar health or medical issue,0.83,"0.34, 2.01"
Home ownership,Own (ref),Participated in an online support group for people with a similar health or medical issue,1,"1.00, 1.00"
Annual household income,"<$20,000",Participated in an online support group for people with a similar health or medical issue,0.87,"0.13, 5.83"
Annual household income,"$20,000 to <$35,000",Participated in an online support group for people with a similar health or medical issue,1.31,"0.33, 5.26"
Annual household income,"$35,000 to <$50,000",Participated in an online support group for people with a similar health or medical issue,1.02,"0.28, 3.79"
Annual household income,"$50,000 to <$75,000",Participated in an online support group for people with a similar health or medical issue,2.22,"1.04, 4.73"
Annual household income,">$75,000 (ref)",Participated in an online support group for people with a similar health or medical issue,1,"1.00, 1.00"
Age,18-34,Participated in an online support group for people with a similar health or medical issue,1.99,"0.47, 8.45"
Age,35-49,Participated in an online support group for people with a similar health or medical issue,1.38,"0.34, 5.65"
Age,50-64,Participated in an online support group for people with a similar health or medical issue,0.86,"0.15, 4.97"
Age,>65 (ref),Participated in an online support group for people with a similar health or medical issue,1,"1.00, 1.00"
Sex,Female,Participated in an online support group for people with a similar health or medical issue,2.79,"1.20, 6.51"
Sex,Male (ref),Participated in an online support group for people with a similar health or medical issue,1,"1.00, 1.00"
Cancer experience,Cancer diagnosis (self),Participated in an online support group for people with a similar health or medical issue,1.36,"0.62, 2.99"
Cancer experience,No cancer diagnosis (ref),Participated in an online support group for people with a similar health or medical issue,1,"1.00, 1.00"
Cancer experience,Family history of cancer,Participated in an online support group for people with a similar health or medical issue,2.96,"1.00, 3.83"
Cancer experience,No family history (ref),Participated in an online support group for people with a similar health or medical issue,1,"1.00, 1.00"
